N,P,K,temperature,humidity,ph,rainfall,label
20,8,12,25.2990432,94.96419851,7.260416405,117.9733424,orange
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes
56,58,49,37.13165026,94.60761797,6.69215564,172.47880619999995,papaya
36,65,16,25.71269843,64.1123333,7.692013657,50.17067771,lentil
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,chickpea
25,76,24,15.33042636,24.91506728,5.56503533,135.3315583,kidneybeans
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,jute
89,57,43,26.91515043,73.19897535,6.998787171,177.22330480000005,jute
33,15,7,15.83388699,91.68293851,7.651225301,109.7571416,orange
108,22,46,26.17668721,86.72952049999998,6.121168559,53.33484977,watermelon
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
107,10,49,25.83202912,89.00481725,6.755192025,45.24690619,watermelon
40,144,196,22.71750705,92.25479855,5.987262638,107.0289866,apple
31,30,29,26.58580443,90.98617591,5.558807063,178.8116076,coconut
91,24,55,26.27061608,83.09194521,6.259086582999999,46.76837499,watermelon
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,mango
10,5,5,21.21306973,91.35349216,7.817846496,112.9834361,orange
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,blackgram
21,38,20,27.10508014,63.56791363,5.794289715,62.20279647,mothbeans
101,37,18,22.92360984,82.68738535,7.63737841,92.91915074,cotton
40,51,17,28.66086349,86.12194568,6.860602782000001,50.01534317,mungbean
40,70,20,31.80130272,45.03186173,5.623490042999999,147.03614419999997,pigeonpeas
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram
1,29,29,27.32961444,49.30347234,6.052026047000001,93.53197359,mango
12,39,21,28.99319096,62.85948245,8.183844843,70.4713043,mothbeans
11,71,24,21.14011423,22.7182355,5.6066203460000015,141.6056722,kidneybeans
9,60,23,31.96987867,57.17377029,6.2760043360000015,64.25520357,mothbeans
34,9,36,22.8122645,86.34233767,6.276038961,110.4432293,pomegranate
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
39,127,202,15.3246651,81.67215994,6.477768039,71.60102999,grapes
39,30,38,20.12644921,87.59629625,6.965156737999999,108.065579,pomegranate
8,127,196,27.02766138,83.17093908,5.833302165,70.95666003,grapes
32,11,31,29.51611558,92.56492864,6.461225827000001,131.2116167,coconut
21,62,24,33.49077065,62.73317204,6.8473828910000005,65.45328463,blackgram
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
69,57,35,24.30748599,78.54340987,6.1868143920000005,186.2337571,jute
98,8,51,26.1793464,86.52258079,6.25933595,49.43050977,watermelon
59,62,52,43.67549305,93.10887229,6.608667683999999,103.8235658,papaya
34,47,19,27.31372793,85.44815232,6.568795403999999,53.15223123,mungbean
11,45,19,28.70012137,44.359648,3.828031463,44.11622138,mothbeans
95,57,41,23.24925555,73.65346838,6.434610995,184.7674863,jute
108,24,31,24.12832546,56.18107663,6.431899747999999,147.27578180000003,coffee
94,26,27,26.36629861,52.25738495,7.456460375,177.31761609999995,coffee
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana
25,22,25,33.56150184,45.53556603,5.977413802999999,95.70525913,mango
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,mango
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
111,79,53,28.31193338,75.77363772,6.165001277999999,119.695765,banana
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans
71,56,37,23.18866654,86.20899734,6.491506245,176.103677,jute
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,mungbean
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
7,21,35,25.76011662,94.65830608,5.764812076,131.24514140000002,coconut
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,cotton
27,59,22,21.81167649,23.20591245,5.794158503999999,130.0608093,kidneybeans
2,140,197,22.69780133,92.82223419,5.53456749,105.0508234,apple
31,36,29,33.93679864,52.72170281,6.460542749,97.4611918,mango
18,36,23,24.01825377,53.76623369,7.214078621,35.03404425,mothbeans
113,6,52,27.76317235,90.35567642,6.740983646,25.21609113,muskmelon
65,63,50,31.88342554,91.3256535,6.524459342,79.27201575,papaya
120,7,47,24.24782473,83.03687902,6.653867608,54.76576239999999,watermelon
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
37,5,34,25.79490531,93.84150618,5.779032666,152.42387119999995,coconut
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram
32,55,52,37.58899717,91.99740365,6.967759599999999,159.6577388,papaya
109,12,48,29.45771748,92.12534736,6.708743843,20.76212031,muskmelon
1,30,29,28.33333307,51.39586505,6.4341977560000005,91.67241761,mango
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,jute
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas
82,24,26,24.31274458,53.57285558,6.089443602999999,184.4103931,coffee
1,27,36,23.98598756,93.34236582,5.684995235,104.991282,pomegranate
114,20,26,25.55656667,62.67087838,7.27905689,193.5866233,coffee
68,62,50,33.20258348,92.76437927,6.977700268,197.5282582,papaya
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea
42,58,25,27.45853567,62.90020977,6.513620917999999,69.46020927,blackgram
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
21,21,30,27.69819273,51.41593238,5.403908327999999,100.7720705,mango
8,37,33,28.07802689,54.9640534,6.128167757000001,97.45373619,mango
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
12,20,39,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate
86,39,43,26.14576648,71.23690851,6.432051512,193.1007598,jute
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea
95,16,46,27.076726500000003,90.14362622,6.74669542,24.4514648,muskmelon
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,coffee
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,pigeonpeas
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
117,32,34,26.2724184,52.12739421,6.758792552,127.1752928,coffee
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
41,74,18,28.75751783,61.02701476,6.599147297999999,73.37686831,blackgram
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
28,7,9,34.591784600000004,92.13229786,6.730757538,115.5650287,orange
12,63,17,18.358923,19.37703396,5.717143397,138.414764,kidneybeans
34,10,14,34.05296914,92.05811721,6.725600855,116.8020848,orange
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,blackgram
103,33,33,26.71717393,50.50148528,7.131435858,126.8073984,coffee
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,chickpea
20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,coconut
95,7,45,27.30008597,90.80015308,6.031665834,25.09484511,muskmelon
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
38,15,27,33.7462686,48.50387598,6.777788126,92.26439205,mango
17,11,32,28.74013335,93.39676499,5.620733794,156.76508230000005,coconut
23,35,18,26.4908332,47.36534833,5.414492777,36.99362831,mothbeans
84,18,46,27.08808014,93.42402083,6.781050372999999,25.32159689,muskmelon
40,61,22,20.94981756,65.8108757,7.002216044,44.23913012,lentil
113,15,29,27.09617155,63.55324262,6.779230041,190.2440566,coffee
17,64,18,36.75087487,58.25799145,6.07938452,124.6028153,pigeonpeas
20,45,16,29.93964907,54.61813464,4.626212446,45.43669946,mothbeans
88,50,40,25.63215038,79.95150917,7.0518224720000005,182.2582277,jute
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,watermelon
26,73,21,31.33170829,57.97429171,4.946263888,161.7820226,pigeonpeas
0,145,205,21.22503442,90.09877774,5.52078314,113.9760462,apple
58,63,81,19.81344531,14.69765308,6.515499548999999,78.96514709,chickpea
105,56,15,25.96779712,81.97904282,7.272316208999999,74.14169043,cotton
92,85,51,29.22118628,81.08183635,5.740764682000001,108.8616474,banana
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
33,47,46,29.20300896,93.96834049,6.839443833,209.4083305,papaya
92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,banana
22,16,27,29.1797902,90.27214288,6.006784979,188.9252083,coconut
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,grapes
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice
15,9,11,11.54785707,94.14861001,7.907956251,108.82891709999998,orange
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,cotton
8,120,201,21.18667419,91.13435689,6.321152192,122.233323,apple
114,40,17,24.32630461,80.13456404,6.363406102000001,69.45072055,cotton
18,23,8,21.49118657,93.43949693,6.41354791,101.4819888,orange
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya
23,75,25,31.07508973,47.19847683,7.077170002000001,91.31256412,pigeonpeas
40,65,49,35.32876402,91.06138506,6.678449317999999,163.9069365,papaya
36,80,21,33.64769646,48.41490082,7.066087261,100.4673278,pigeonpeas
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
117,37,32,23.1069385,67.06230539,6.787658922,162.57696059999995,coffee
8,28,37,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
0,36,26,34.13072188,51.25786185,5.101206389,96.38808001,mango
110,25,54,28.91105641,90.78413842,6.425930938,23.44398467,muskmelon
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,blackgram
7,56,23,26.33908791,40.00933429,5.545219232000001,55.50429227,mothbeans
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,pigeonpeas
1,124,199,23.71059131,93.27392415,5.658473817000001,112.66765890000002,apple
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea
3,136,205,17.5862944,80.84806564,6.334771461,71.40654520000002,grapes
2,30,30,26.00175125,94.79998418,6.331051715,209.540094,coconut
1,66,23,19.54317155,56.92831399,4.803564468,173.1686574,pigeonpeas
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas
61,51,51,39.30050027,94.16193416,6.574677594,120.9512466,papaya
111,5,50,27.59350075,91.79742953,6.399891457000001,24.84266123,muskmelon
16,65,16,18.13027797,62.45851612,6.078724107,50.6128521,lentil
31,144,202,11.02105378,80.55557235,5.870600622,68.23963161,grapes
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,pigeonpeas
22,18,31,30.764551500000003,47.93791463,5.956027059,90.38503469,mango
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
35,125,204,19.6491772,80.15215777,6.107741787999999,73.69529586,grapes
89,25,50,27.04863538,91.34685096,6.375923383,25.08146686,muskmelon
26,9,32,25.9490364,94.73860514,6.470465614,144.15711090000005,coconut
0,18,14,29.77149434,92.00719952,7.207991261,114.41617859999998,orange
32,18,13,13.8377282,91.74780462,6.044167236,107.9873218,orange
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,mungbean
109,91,53,29.66727337,83.51014178,6.010095852999999,110.2511102,banana
92,40,30,23.35723208,55.18792166,6.026287448,171.6976946,coffee
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
40,5,29,28.48444906,97.76865458,5.820978791,160.389421,coconut
82,48,36,25.79351957,81.76904006,6.352076782999999,193.2418382,jute
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,mothbeans
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,mango
67,43,38,25.21622704,70.88259632,7.299304715,195.8645552,jute
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea
27,13,6,13.36050601,91.35608208,7.335158382,111.2266885,orange
32,56,18,20.0467711,65.84395319,7.135251532000001,46.05333124,lentil
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans
100,48,17,23.7805123,83.03878838,7.827877817999999,66.26555904,cotton
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
34,6,30,27.0828252,97.00155491,5.948342571,171.7575545,coconut
25,63,20,15.78601387,21.14544088,5.502999119,95.17028129,kidneybeans
29,78,25,19.95991719,59.33157782,5.982854522999999,195.787103,pigeonpeas
29,139,205,23.64142354,93.74461474,6.155939452999999,116.6912176,apple
37,74,15,24.92360104,18.22590825,5.582178402,62.7089169,kidneybeans
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,watermelon
5,136,195,22.35628673,91.92360477,6.264202804,107.7697413,apple
85,89,51,29.21144871,84.70189923,6.1581644220000005,108.5501443,banana
6,9,12,31.08368929,90.14362642,7.028746406000002,109.6894658,orange
94,91,51,29.16093424,76.67484233,5.6180944460000015,109.575944,banana
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean
15,28,32,28.84270971,99.64328526,6.2185718739999984,224.4016682,coconut
23,6,33,29.18032562,92.73041222,6.025789594,204.9603677,coconut
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
85,9,53,28.20619412,92.86798698,6.447662945,28.78654515,muskmelon
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,banana
118,21,34,24.38534644,64.72543073,7.234258375,119.6324109,coffee
112,17,28,27.62975458,61.26002598,6.777417989,196.6492664,coffee
113,33,34,26.00373964,62.144510200000006,6.559817161000002,153.477776,coffee
19,122,202,23.34467359,90.37981478,5.811975094,112.8954016,apple
113,30,50,26.03967219,83.9862443,6.277484042999999,43.87712348,watermelon
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,mango
32,73,81,20.45078582,15.40312102,5.988992796000002,92.68373702,chickpea
34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,kidneybeans
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,lentil
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
64,53,38,26.24347471,78.51063754,6.855362875,183.4065252,jute
22,43,24,25.42517036,53.22082660000001,4.52363558,46.19374559,mothbeans
2,38,18,27.53632932,89.92908171,6.619891497999999,45.48591922,mungbean
78,46,42,23.09499564,78.45959697,7.095413294,155.3851533,jute
71,54,35,26.63952463,70.95705996,7.311077075,199.3355744,jute
26,68,24,28.04849594,64.07691942,7.504930973,37.15824966,lentil
22,55,16,23.7937153,68.03209183,6.516317561,49.73922097,lentil
9,8,15,14.34320488,94.35734702,7.994465371,110.22231229999998,orange
35,74,22,26.7230014,62.96841833,6.898905799,42.87274897,lentil
38,51,52,32.66160599,90.78931681,6.927803911,78.85085502,papaya
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,pigeonpeas
24,14,33,29.38072512,93.27565685,6.366219551,218.5241851,coconut
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
39,60,15,35.09357419,30.98685456,5.004074623999999,116.9106908,pigeonpeas
24,70,16,25.17885316,68.93307305,6.54803469,35.03484812,lentil
117,34,25,24.83846178,56.7685316,7.21270048,124.4135035,coffee
31,56,23,31.46846241,35.39454002,5.661826398,174.5723999,pigeonpeas
0,27,38,22.44581266,89.90147027,6.7380162210000005,109.3905998,pomegranate
32,79,22,27.60195453,63.46170674,5.91645379,54.37814199,lentil
22,30,12,15.78144173,92.51077745,6.354006743999999,119.035002,orange
81,34,30,25.17787724,62.26244581,6.6477659970000005,135.0119649,coffee
28,136,200,23.06204373,92.39544055,6.245858905,114.7399101,apple
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
37,24,13,19.14381903,90.71037456,7.8546243,108.0230792,orange
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,banana
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,blackgram
8,136,201,41.65602996,82.22118237,5.6092559920000005,74.19664838,grapes
38,14,37,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate
30,127,204,22.50050273,92.45878335,6.126436584,100.9343903,apple
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,jute
6,30,40,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
102,24,54,27.72338349,90.93897939,6.698468621,22.81863447,muskmelon
9,80,19,21.80619564,18.57086554,5.945465949,125.0972687,kidneybeans
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans
111,28,26,27.77363343,64.47858698,6.937352845,192.7121236,coffee
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
5,25,6,30.72119881,94.01331956,6.0113021810000005,106.8118019,orange
27,65,18,20.10993761,23.22323766,5.59503163,73.36386477,kidneybeans
34,45,21,28.18837136,82.60629652,6.2873801170000005,37.01110438,mungbean
10,37,22,28.7275267,89.12760359,7.069747813999999,58.52974279,mungbean
56,65,45,38.2016825,93.97379963,6.751298936,218.09088140000003,papaya
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
119,19,55,25.18780042,83.44621709,6.818261382999999,46.87420883,watermelon
22,64,82,19.48974337,17.17260319,6.4740245000000005,87.51312796,chickpea
82,46,41,23.325013100000003,79.79609448,6.581693772,187.3096148,jute
2,79,15,21.53577883,65.47227704,7.505283615,35.75107592,lentil
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram
63,41,45,25.29781791,86.88705350000002,7.121933578999999,196.6249511,jute
80,52,39,26.41915161,76.85691248,7.165696848,197.2101782,jute
108,35,25,23.98143338,61.10935084,6.971963169,161.5279095,coffee
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram
99,40,32,24.18471151,69.94807345,7.0455430560000005,163.27087319999995,coffee
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
32,11,31,25.06871967,93.31410447,6.205931637999999,134.84190690000003,coconut
7,74,17,22.47253208,62.56532471,5.667419697000001,96.74706956,pigeonpeas
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407,mungbean
103,33,25,27.10210397,55.74973320000001,6.911066044,139.5013171,coffee
93,22,48,29.12533739,91.52291141,6.776987974,21.90440445,muskmelon
36,25,33,27.98392787,53.33018851,5.548584852,99.61465679,mango
40,30,35,20.89273273,91.07776977,6.269663962999999,104.4407083,pomegranate
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
114,21,55,25.4438391,87.93923120000002,6.472756256,57.51549686,watermelon
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,blackgram
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
39,145,201,36.73126647,80.58931938,5.775600435,72.24230804,grapes
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
82,35,35,25.49386782,86.97061481,7.299076163,176.5268267,jute
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,mungbean
81,6,55,24.88910524,85.87059083,6.110142735,51.70699144,watermelon
117,19,55,28.80311922,91.78336933,6.121745389,25.16359891,muskmelon
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,watermelon
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
22,62,16,34.6455408,54.32342534,4.828936119,180.9009998,pigeonpeas
37,70,25,19.73136909,24.89487354,5.819403771,84.06354115,kidneybeans
35,66,47,31.7018373,91.66232213,6.953439161,48.83810592,papaya
32,12,30,25.39241091,98.08951196,5.579845008,218.080385,coconut
26,15,6,17.22034507,94.78797376,6.912033409,108.0054343,orange
91,13,47,29.10968327,92.43510994,6.14410903,27.95602304,muskmelon
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice
37,135,205,11.82768186,80.2827185,5.510924848999999,74.10225057,grapes
103,17,51,25.11189154,80.02621335,6.209888345,44.20656987,watermelon
2,56,23,26.65333029,59.79023382,7.550090941,36.91852635,mothbeans
34,15,34,27.05826457,91.10510371,5.677282677999999,224.70069530000004,coconut
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon
8,25,36,19.91330523,94.95031368,6.828522375,104.0277061,pomegranate
51,72,75,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,chickpea
123,44,21,25.78544484,75.00539324,7.6411165689999985,91.39578861,cotton
16,51,21,31.01963639,49.97675220000001,3.532008668,32.81296548,mothbeans
31,79,25,23.18864385,22.3104551,5.902033406,63.38208822,kidneybeans
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236,mungbean
61,68,50,35.21462816,91.49725058,6.7932454170000005,243.0745066,papaya
54,61,77,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea
25,121,201,30.50734778,82.71775569,5.594240602999999,70.08200379,grapes
101,13,54,25.42900869,82.91481799,6.828982708,56.34144589,watermelon
20,23,11,31.852069399999998,90.12220323,6.407715561,109.9455062,orange
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,apple
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,blackgram
74,46,45,25.75734909,88.36668522,6.025028997000001,189.4263485,jute
12,61,19,19.33162606,24.13995025,5.655726817000001,68.51253427,kidneybeans
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,jute
92,75,45,29.01207743,77.95192527,5.674403358999999,90.43495443,banana
12,37,30,31.09779147,47.41196659,4.546466109,90.28624348,mango
113,21,33,26.02241444,55.83288958,7.277422737999999,176.90209240000004,coffee
11,124,204,13.42988625,80.06633966,6.361141107000001,71.40043037,grapes
11,34,32,29.14305008,49.40983294,6.831706773,97.55155537,mango
21,63,22,25.09737391,67.72837887,6.859409487000001,74.61649888,blackgram
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,pigeonpeas
28,123,202,22.76643029,92.12438519,6.442289294,120.4359949,apple
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton
15,125,199,18.426993600000007,80.55625868,5.569230319,69.75734306,grapes
112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana
136,36,24,22.74446976,80.41198458,7.59781958,90.07326633,cotton
29,34,26,33.88004781,54.39416048,6.2739536760000005,89.29147581,mango
28,70,21,25.39038396,60.4989659,7.437373666,39.18374505,lentil
111,32,34,25.46743689,69.35161206,6.392048018,171.37644619999998,coffee
0,55,22,22.98666928,20.57940608,5.916779289,143.85849380000005,kidneybeans
40,120,197,23.80593812,92.48879468,5.889480679,119.6335548,apple
87,25,46,27.42711692,90.02696201,6.379690748,21.7508774,muskmelon
36,44,21,25.12528913,51.33189406,4.516154055,38.48678973,mothbeans
99,6,46,28.61475136,94.22253035,6.39637861,28.98574189,muskmelon
30,30,35,25.00872392,95.59224018,6.001936419,165.8092179,coconut
6,7,7,27.68167318,94.47316879,7.199106204,113.9995146,orange
31,6,26,29.12859129,91.30924833,5.741367375,157.2388553,coconut
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
6,37,17,28.08657178,80.35005927,6.760694227999999,38.14476781,mungbean
16,145,199,26.91624843,80.76838926,5.953966361,69.30927185,grapes
115,11,46,24.41592661,89.39655519,6.623167177000001,40.32161859,watermelon
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,kidneybeans
14,131,198,33.4641162,83.86742974,5.562790949,67.92204319,grapes
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize
101,58,18,25.66891439,81.38103349,6.652143699,78.59595817,cotton
21,63,17,25.08966129,68.17543102,6.559681838,41.45486619,lentil
40,58,15,29.46416042,87.60890009,6.978400282000001,43.15411472,mungbean
17,43,22,30.06142622,45.90067655,5.498340807999999,41.0550915,mothbeans
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea
95,75,45,28.98333432,82.95958244,5.829898502000001,109.022564,banana
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean
90,40,39,25.72668885,81.86171563,6.626503893,191.9649389,jute
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
6,18,37,19.65690085,89.93701023,5.937649577999999,108.0458926,pomegranate
7,144,195,22.96388477,93.58065995,5.85648105,104.64729859999998,apple
89,28,33,26.44414097,53.83876189,6.9932360010000005,175.3723314,coffee
38,135,203,23.76121837,93.661643,5.9655513110000005,100.825956,apple
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans
1,17,6,10.78689755,91.38411917,6.8198271,117.5293447,orange
1,67,21,27.52135365,60.53657684,6.551577598,48.06491307,lentil
37,144,197,11.18994268,80.8084305,6.415555956,66.34234944,grapes
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
106,21,35,25.627355,57.04151119,7.4285236339999985,188.5506536,coffee
0,29,32,28.05912437,98.3670985,5.868255858,171.65163959999995,coconut
107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon
120,25,50,28.05457761,94.81637388,6.327210469,21.84869328,muskmelon
5,23,15,25.66901098,92.04670813,7.408939392000001,112.5424199,orange
30,61,18,27.14911056,67.02664337,6.157782589,52.50812701,lentil
90,15,52,27.04927452,91.3821731,6.448061578,23.65747461,muskmelon
5,45,21,28.36291385,88.00989267,6.487124217000001,43.05130077,mungbean
38,38,18,26.31051759,61.18749126,6.294130312999999,35.73403813,mothbeans
102,53,21,23.03814028,76.11021529,6.913678684,91.49697481,cotton
80,18,52,27.87317436,91.14849627,6.484799661,24.05207925,muskmelon
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram
28,48,15,25.16125354,55.25435777,9.254089438,40.89732789,mothbeans
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
